depth	count
-2	187770
-1.9	6820
-1.8	2162
-1.2	5560
-0.51	850
-0.5	55002
-0.45	1215
-0.44	850
-0.43	1419
-0.38	3040
-0.36	1215
-0.35	1052
-0.32	365
-0.31	850
-0.3	3041
-0.29	2391
-0.28	4860
-0.26	1102
-0.25	1903
-0.24	1423
-0.23	4465
-0.22	3804
-0.21	2434
-0.2	7603
-0.19	1469
-0.18	4398
-0.17	4402
-0.16	3014
-0.15	6386
-0.14	6294
-0.13	5396
-0.128	1423
-0.12	2997
-0.11	4751
-0.1	8423
-0.09	4112
-0.08	5720
-0.07	9486
-0.06	9557
-0.05	9796
-0.046	365
-0.04	4939
-0.03	5096
-0.02	13978
-0.01	6187
0.0	559378
0.001	1658
0.002	1461
0.01	90610
0.017	757
0.02	52150
0.026000000000000002	1424
0.03	10153
0.034	365
0.04	5821
0.045	225
0.05	30769
0.06	8770
0.07	14350
0.075	1150
0.08	18291
0.09	13404
0.094	1131
0.1	58929
0.10400000000000001	365
0.11	12132
0.12	12675
0.125	1149
0.127	224
0.13	16839
0.14	8748
0.15	17085
0.16	10865
0.16899999999999998	756
0.17	16234
0.171	373
0.18	13239
0.182	1424
0.184	364
0.19	8301
0.19899999999999998	225
0.2	98133
0.21	10303
0.22	15068
0.223	1149
0.23	9978
0.24	14830
0.245	756
0.25	242812
0.251	374
0.254	365
0.256	1423
0.26	11498
0.27	7729
0.275	225
0.28	17134
0.29	4475
0.3	46018
0.31	12709
0.32	9201
0.321	756
0.325	374
0.33	8216
0.33399999999999996	365
0.34	8342
0.35	14978
0.355	225
0.36	15345
0.37	10536
0.375	1150
0.38	5340
0.39	13527
0.39799999999999996	750
0.39899999999999997	374
0.4	98952
0.405	1424
0.41	9143
0.414	365
0.42	5895
0.43	7229
0.44	5909
0.45	2513
0.46	8411
0.47	6555
0.473	756
0.475	373
0.48	4341
0.484	365
0.49	5686
0.5	453849
0.508	225
0.51	7234
0.52	9066
0.525	1150
0.53	3619
0.54	6024
0.55	8501
0.552	373
